search_batch_id	experiment_tag	sample_category	publication_name	pubmed_id	repository_identifiers
9652	AA-A02J-01A-23	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9653	AA-A02O-01A-23	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9654	AA-A02R-01A-23	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9655	AA-A02Y-01A-31	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9656	AA-A03F-01A-41	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9657	AA-A03J-01A-23	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9658	AF-2691-01A-41	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9659	AF-2692-01A-41	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9660	AF-3400-01A-41	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9661	AF-3913-01A-12	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9662	AG-3574-01A-22	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9663	AG-3580-01A-22	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9664	AG-3584-01A-22	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9665	AG-3593-01A-22	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9666	AG-3594-01A-12	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9667	AG-4007-01A-22	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9668	AG-A002-01A-23	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9669	AG-A008-01A-23	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9670	AG-A00C-01A-23	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9671	AG-A00H-01A-22	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9672	AG-A00H-01A-31	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9673	AG-A00Y-01A-12	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9674	AG-A011-01A-32	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9675	AG-A014-01A-12	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9676	AG-A015-01A-51	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9677	AG-A016-01A-23	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9678	AG-A01J-01A-22	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9679	AG-A01L-01A-22	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9680	AG-A01N-01A-23	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9681	AG-A01W-01A-23	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9682	AG-A01Y-01A-43	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9683	AG-A020-01A-23	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9684	AG-A026-01A-71	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9685	AG-A02N-01A-31	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9686	AG-A02X-01A-32	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9687	AG-A032-01A-31	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9688	AG-A036-01A-22	Cancer, Digestive System	Bing Zhang et al. (2014)	25043054	
9418	A2-A0D0-01A_BH-A0HK-01A_C8-A12T-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9419	A2-A0D2-01A_C8-A12U-01A_AR-A1AS-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9420	A2-A0EV-01A_AN-A0AM-01A_D8-A142-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9421	A2-A0SW-01A_AO-A0JL-01A_BH-A0BV-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9422	A2-A0T6-01A_E2-A158-01A_E2-A15A-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9423	A2-A0T7-01A_C8-A12Q-01A_A8-A079-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9424	A2-A0YF-01A_BH-A0DD-01A_BH-A0E9-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9425	A2-A0YG-01A_E2-A150-01A_BH-A18N-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9426	A2-A0YM-01A_BH-A0C7-01A_A2-A0SX-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9427	A7-A0CD-01A_C8-A12W-01A_AN-A0AL-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9428	A7-A0CE-01A_BH-A0C0-01A_A2-A0YC-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9429	A7-A0CJ-01A_AO-A12F-01A_A2-A0YL-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9430	A8-A06Z-01A_A2-A0D1-01A_A2-A0CM-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9431	A8-A09G-01A_C8-A131-01A_C8-A134-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9432	A8-A09I-01A_C8-A12L-01A_A2-A0EX-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9433	AN-A0FL-01A_BH-A0DG-01A_AN-A0AS-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9434	AO-A0JC-01A_A8-A08Z-01A_AR-A0TX-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9435	AO-A0JE-01A_A2-A0T2-01A_AN-A0AJ-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9436	AO-A0JM-01A_C8-A12V-01A_A8-A08G-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9437	AO-A12D-01A_AN-A04A-01A_BH-A0AV-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9438	AO-A12D-01A_C8-A131-01A_AO-A12B-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9439	AO-A12E-01A_A8-A06N-01A_A2-A0T1-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9440	AR-A0TR-01A_AO-A03O-01A_BH-A18R-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9441	AR-A0TT-01A_AR-A1AQ-01A_AO-A12B-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9442	AR-A0TV-01A_C8-A12Z-01A_AO-A0JJ-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9443	AR-A0TY-01A_AR-A0U4-01A_BH-A0HP-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9444	AR-A1AP-01A_AN-A0FK-01A_AO-A0J6-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9445	AR-A1AW-01A_AR-A1AV-01A_C8-A135-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9446	BH-A0EE-01A_AO-A0J9-01A_BH-A0E0-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9447	BH-A18U-01A_A2-A0YI-01A_A2-A0EQ-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9448	BH-A18V-01A_A7-A13F-01A_BH-A0E1-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9449	C8-A12P-01A_BH-A0C1-01A_A2-A0EY-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9450	C8-A138-01A_E2-A154-01A_BH-A0BZ-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9451	D8-A13Y-01A_A8-A076-01A_AO-A126-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9452	E2-A10A-01A_BH-A18Q-01A_C8-A130-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
9453	E2-A159-01A_A2-A0T3-01A_A2-A0YD-01A	Cancer, Breast	Edwards et al. (2015)	25873244	
8477	A2-A0D0-01A_BH-A0HK-01A_C8-A12T-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8465	A2-A0D2-01A_C8-A12U-01A_AR-A1AS-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8467	A2-A0EV-01A_AN-A0AM-01A_D8-A142-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8457	A2-A0SW-01A_AO-A0JL-01A_BH-A0BV-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8474	A2-A0T6-01A_E2-A158-01A_E2-A15A-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8475	A2-A0T7-01A_C8-A12Q-01A_A8-A079-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8487	A2-A0YF-01A_BH-A0DD-01A_BH-A0E9-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8485	A2-A0YG-01A_E2-A150-01A_BH-A18N-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8469	A2-A0YM-01A_BH-A0C7-01A_A2-A0SX-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8476	A7-A0CD-01A_C8-A12W-01A_AN-A0AL-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8472	A7-A0CE-01A_BH-A0C0-01A_A2-A0YC-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8473	A7-A0CJ-01A_AO-A12F-01A_A2-A0YL-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8490	A8-A06Z-01A_A2-A0D1-01A_A2-A0CM-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8486	A8-A09G-01A_C8-A131-01A_C8-A134-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8462	A8-A09I-01A_C8-A12L-01A_A2-A0EX-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8458	AN-A0FL-01A_BH-A0DG-01A_AN-A0AS-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8482	AO-A0JC-01A_A8-A08Z-01A_AR-A0TX-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8484	AO-A0JE-01A_A2-A0T2-01A_AN-A0AJ-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8480	AO-A0JM-01A_C8-A12V-01A_A8-A08G-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8466	AO-A12D-01A_AN-A04A-01A_BH-A0AV-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8488	AO-A12D-01A_C8-A131-01A_AO-A12B-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8478	AO-A12E-01A_A8-A06N-01A_A2-A0T1-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8481	AR-A0TR-01A_AO-A03O-01A_BH-A18R-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8479	AR-A0TT-01A_AR-A1AQ-01A_AO-A12B-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8460	AR-A0TV-01A_C8-A12Z-01A_AO-A0JJ-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8455	AR-A0TY-01A_AR-A0U4-01A_BH-A0HP-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8461	AR-A1AP-01A_AN-A0FK-01A_AO-A0J6-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8489	AR-A1AW-01A_AR-A1AV-01A_C8-A135-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8464	BH-A0EE-01A_AO-A0J9-01A_BH-A0E0-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8470	BH-A18U-01A_A2-A0YI-01A_A2-A0EQ-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8463	BH-A18V-01A_A7-A13F-01A_BH-A0E1-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8471	C8-A12P-01A_BH-A0C1-01A_A2-A0EY-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8459	C8-A138-01A_E2-A154-01A_BH-A0BZ-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8483	D8-A13Y-01A_A8-A076-01A_AO-A126-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8468	E2-A10A-01A_BH-A18Q-01A_C8-A130-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
8456	E2-A159-01A_A2-A0T3-01A_A2-A0YD-01A_phospho	Cancer, Breast	Edwards et al. (2015)	25873244	
7791	HsPlasma_LMF	Blood Plasma	Greening & Simpson (2010)	19782775	
9454	Adult_Adrenalgland_bRP_Velos	Adrenal Gland	Pinto et al. (2014)	24669763	PXD000561
9456	Adult_Adrenalgland_Gel_Velos	Adrenal Gland	Pinto et al. (2014)	24669763	PXD000561
9458	Adult_Bcells_bRP_Velos	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9461	Adult_CD4Tcells_bRP_Velos	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9462	Adult_CD4Tcells_Gel_Velos	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9464	Adult_CD8Tcells_bRP_Velos	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9466	Adult_CD8Tcells_Gel_Velos	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9470	Adult_Esophagus_bRP_Velos	Digestive System	Pinto et al. (2014)	24669763	PXD000561
9471	Adult_Esophagus_Gel_Velos	Digestive System	Pinto et al. (2014)	24669763	PXD000561
9477	Adult_Heart_bRP_Velos	Heart	Pinto et al. (2014)	24669763	PXD000561
9479	Adult_Heart_Gel_Velos	Heart	Pinto et al. (2014)	24669763	PXD000561
9480	Adult_Kidney_bRP_Velos	Kidney	Pinto et al. (2014)	24669763	PXD000561
9482	Adult_Kidney_Gel_Velos	Kidney	Pinto et al. (2014)	24669763	PXD000561
9484	Adult_Liver_bRP_Velos	Liver	Pinto et al. (2014)	24669763	PXD000561
9486	Adult_Liver_Gel_Velos	Liver	Pinto et al. (2014)	24669763	PXD000561
9487	Adult_Lung_bRP_Velos	Lung	Pinto et al. (2014)	24669763	PXD000561
9489	Adult_Lung_Gel_Velos	Lung	Pinto et al. (2014)	24669763	PXD000561
9491	Adult_Monocytes_bRP_Velos	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9492	Adult_Monocytes_Gel_Velos	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9494	Adult_NKcells_bRP_Velos	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9496	Adult_NKcells_Gel_Velos	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9501	Adult_Platelets_bRP_Velos	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9503	Adult_Platelets_Gel_Velos	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9510	Adult_Retina_Gel_Velos	Eye	Pinto et al. (2014)	24669763	PXD000561
9518	Fetal_Brain_Gel_Velos	Brain	Pinto et al. (2014)	24669763	PXD000561
9520	Fetal_Gut_Gel_Velos	Digestive System	Pinto et al. (2014)	24669763	PXD000561
9522	Fetal_Heart_Gel_Velos	Heart	Pinto et al. (2014)	24669763	PXD000561
9524	Fetal_Liver_Gel_Velos	Liver	Pinto et al. (2014)	24669763	PXD000561
9526	Fetal_Ovary_bRP_Velos	Ovary	Pinto et al. (2014)	24669763	PXD000561
9527	Fetal_Ovary_Gel_Velos	Ovary	Pinto et al. (2014)	24669763	PXD000561
9529	Fetal_Placenta_Gel_Velos	Placenta	Pinto et al. (2014)	24669763	PXD000561
9531	Fetal_Testis_Gel_Velos	Testis	Pinto et al. (2014)	24669763	PXD000561
9455	Adult_Adrenalgland_Gel_Elite	Adrenal Gland	Pinto et al. (2014)	24669763	PXD000561
9457	Adult_Bcells_bRP_Elite	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9459	Adult_Bcells_Gel_Elite	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9460	Adult_CD4Tcells_bRP_Elite	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9463	Adult_CD8Tcells_bRP_Elite	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9465	Adult_CD8Tcells_Gel_Elite	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9467	Adult_Colon_bRP_Elite	Digestive System	Pinto et al. (2014)	24669763	PXD000561
9468	Adult_Colon_Gel_Elite	Digestive System	Pinto et al. (2014)	24669763	PXD000561
9469	Adult_Esophagus_bRP_Elite	Digestive System	Pinto et al. (2014)	24669763	PXD000561
9472	Adult_Frontalcortex_bRP_Elite	Brain	Pinto et al. (2014)	24669763	PXD000561
9473	Adult_Frontalcortex_Gel_Elite	Brain	Pinto et al. (2014)	24669763	PXD000561
9474	Adult_Gallbladder_bRP_Elite	Digestive System	Pinto et al. (2014)	24669763	PXD000561
9475	Adult_Gallbladder_Gel_Elite	Digestive System	Pinto et al. (2014)	24669763	PXD000561
9476	Adult_Heart_bRP_Elite	Heart	Pinto et al. (2014)	24669763	PXD000561
9478	Adult_Heart_Gel_Elite	Heart	Pinto et al. (2014)	24669763	PXD000561
9481	Adult_Kidney_Gel_Elite	Kidney	Pinto et al. (2014)	24669763	PXD000561
9483	Adult_Liver_bRP_Elite	Liver	Pinto et al. (2014)	24669763	PXD000561
9485	Adult_Liver_Gel_Elite	Liver	Pinto et al. (2014)	24669763	PXD000561
9488	Adult_Lung_Gel_Elite	Lung	Pinto et al. (2014)	24669763	PXD000561
9490	Adult_Monocytes_bRP_Elite	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9493	Adult_NKcells_bRP_Elite	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9495	Adult_NKcells_Gel_Elite	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9497	Adult_Ovary_bRP_Elite	Ovary	Pinto et al. (2014)	24669763	PXD000561
9498	Adult_Ovary_Gel_Elite	Ovary	Pinto et al. (2014)	24669763	PXD000561
9499	Adult_Pancreas_bRP_Elite	Pancreas	Pinto et al. (2014)	24669763	PXD000561
9500	Adult_Pancreas_Gel_Elite	Pancreas	Pinto et al. (2014)	24669763	PXD000561
9502	Adult_Platelets_Gel_Elite	Blood Cells	Pinto et al. (2014)	24669763	PXD000561
9504	Adult_Prostate_bRP_Elite	Other Male Reproductive Organ	Pinto et al. (2014)	24669763	PXD000561
9505	Adult_Prostate_Gel_Elite	Other Male Reproductive Organ	Pinto et al. (2014)	24669763	PXD000561
9506	Adult_Rectum_bRP_Elite	Digestive System	Pinto et al. (2014)	24669763	PXD000561
9507	Adult_Rectum_Gel_Elite	Digestive System	Pinto et al. (2014)	24669763	PXD000561
9508	Adult_Retina_bRP_Elite	Eye	Pinto et al. (2014)	24669763	PXD000561
9509	Adult_Retina_Gel_Elite	Eye	Pinto et al. (2014)	24669763	PXD000561
9511	Adult_Spinalcord_bRP_Elite	Other Anatomical Entities	Pinto et al. (2014)	24669763	PXD000561
9512	Adult_Spinalcord_Gel_Elite	Other Anatomical Entities	Pinto et al. (2014)	24669763	PXD000561
9513	Adult_Testis_bRP_Elite	Testis	Pinto et al. (2014)	24669763	PXD000561
9514	Adult_Testis_Gel_Elite	Testis	Pinto et al. (2014)	24669763	PXD000561
9515	Adult_Urinarybladder_bRP_Elite	Urinary Bladder	Pinto et al. (2014)	24669763	PXD000561
9516	Adult_Urinarybladder_Gel_Elite	Urinary Bladder	Pinto et al. (2014)	24669763	PXD000561
9517	Fetal_Brain_bRP_Elite	Brain	Pinto et al. (2014)	24669763	PXD000561
9519	Fetal_Gut_bRP_Elite	Digestive System	Pinto et al. (2014)	24669763	PXD000561
9521	Fetal_Heart_bRP_Elite	Heart	Pinto et al. (2014)	24669763	PXD000561
9523	Fetal_Liver_bRP_Elite	Liver	Pinto et al. (2014)	24669763	PXD000561
9525	Fetal_Ovary_bRP_Elite	Ovary	Pinto et al. (2014)	24669763	PXD000561
9528	Fetal_Placenta_bRP_Elite	Placenta	Pinto et al. (2014)	24669763	PXD000561
9530	Fetal_Testis_bRP_Elite	Testis	Pinto et al. (2014)	24669763	PXD000561
9689	Hs_Hela_ArgC_CID	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9690	Hs_Hela_ArgC_HCD	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9691	Hs_Hela_ArgC-LysC_CID	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9692	Hs_Hela_ArgC-LysC_HCD	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9693	Hs_Hela_ArgC-Try_CID	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9694	Hs_Hela_AspN_CID	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9695	Hs_Hela_AspN_HCD	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9696	Hs_Hela_Chytry_CID	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9697	Hs_Hela_Chytry_HCD	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9698	Hs_Hela_GluC_CID	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9699	Hs_Hela_GluC_HCD	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9701	Hs_Hela_LysC_HCD	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9700	Hs_Hela_LysC_CID	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9705	Hs_Hela_Try_CID	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9706	Hs_Hela_Try_HCD	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9702	Hs_Hela_LysC-Try_CID	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9703	Hs_Hela_nonSpecific_CID	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9704	Hs_Hela_nonSpecific_HCD	Cancer Cell Lines, Other Female Reproductive Organ	Guo et al. (2014)	24696503	PXD000900
9793	Hs_HEK293_LysC_CID	Non Cancer Cell Lines	Guo et al. (2014)	24696503	PXD000900
9794	Hs_HEK293_LysC_HCD	Non Cancer Cell Lines	Guo et al. (2014)	24696503	PXD000900
9795	Hs_HEK293_nonSpecific_CID	Non Cancer Cell Lines	Guo et al. (2014)	24696503	PXD000900
9796	Hs_HEK293_Try_CID	Non Cancer Cell Lines	Guo et al. (2014)	24696503	PXD000900
9797	Hs_HEK293_Try_HCD	Non Cancer Cell Lines	Guo et al. (2014)	24696503	PXD000900
9532	Hs_Adrenal_gland	Adrenal Gland	Wilhelm et al. (2014)	24870543	PXD000865
9539	Hs_Earwax	Other Anatomical Entities	Wilhelm et al. (2014)	24870543	PXD000865
9537	Hs_Cervix_uteri	Other Female Reproductive Organ	Wilhelm et al. (2014)	24870543	PXD000865
9540	Hs_Esophagus	Digestive System	Wilhelm et al. (2014)	24870543	PXD000865
9541	Hs_Gall_bladder	Digestive System	Wilhelm et al. (2014)	24870543	PXD000865
9542	Hs_Hair_follicle_chymotrypsin	Other Anatomical Entities	Wilhelm et al. (2014)	24870543	PXD000865
9544	Hs_Kidney	Kidney	Wilhelm et al. (2014)	24870543	PXD000865
9546	Hs_Liver	Liver	Wilhelm et al. (2014)	24870543	PXD000865
9547	Hs_Liver_LysC	Liver	Wilhelm et al. (2014)	24870543	PXD000865
9545	Hs_Liver_chymotrypsin	Liver	Wilhelm et al. (2014)	24870543	PXD000865
9548	Hs_Lung	Lung	Wilhelm et al. (2014)	24870543	PXD000865
9557	Hs_Ovary_LysC	Ovary	Wilhelm et al. (2014)	24870543	PXD000865
9558	Hs_Pancreas	Pancreas	Wilhelm et al. (2014)	24870543	PXD000865
9560	Hs_Placenta	Placenta	Wilhelm et al. (2014)	24870543	PXD000865
9572	Hs_Salivary_gland	Other Anatomical Entities	Wilhelm et al. (2014)	24870543	PXD000865
9573	Hs_Seminal_vesicle	Other Male Reproductive Organ	Wilhelm et al. (2014)	24870543	PXD000865
9576	Hs_Spleen	Spleen	Wilhelm et al. (2014)	24870543	PXD000865
9577	Hs_Spleen_LysC	Spleen	Wilhelm et al. (2014)	24870543	PXD000865
9578	Hs_Stomach	Digestive System	Wilhelm et al. (2014)	24870543	PXD000865
9581	Hs_Testis	Testis	Wilhelm et al. (2014)	24870543	PXD000865
9582	Hs_Testis_LysC	Testis	Wilhelm et al. (2014)	24870543	PXD000865
9583	Hs_Thyroid_gland	Thyroid Gland	Wilhelm et al. (2014)	24870543	PXD000865
9584	Hs_Tonsil	Other Anatomical Entities	Wilhelm et al. (2014)	24870543	PXD000865
9549	Hs_Lymph_node	Other Anatomical Entities	Wilhelm et al. (2014)	24870543	PXD000865
9552	Hs_Milk	Other Anatomical Entities	Wilhelm et al. (2014)	24870543	PXD000865
9553	Hs_Nasopharynx	Other Respiratory Organ	Wilhelm et al. (2014)	24870543	PXD000865
9554	Hs_Oral_cavity	Digestive System	Wilhelm et al. (2014)	24870543	PXD000865
9556	Hs_Ovary	Ovary	Wilhelm et al. (2014)	24870543	PXD000865
9555	Hs_Ovary_chymotrypsin	Ovary	Wilhelm et al. (2014)	24870543	PXD000865
9565	Hs_Prostate	Other Male Reproductive Organ	Wilhelm et al. (2014)	24870543	PXD000865
9566	Hs_Prostate_LysC	Other Male Reproductive Organ	Wilhelm et al. (2014)	24870543	PXD000865
9564	Hs_Prostate_chymotrypsin	Other Male Reproductive Organ	Wilhelm et al. (2014)	24870543	PXD000865
9567	Hs_Rectum	Digestive System	Wilhelm et al. (2014)	24870543	PXD000865
9571	Hs_Saliva	Digestive System	Wilhelm et al. (2014)	24870543	PXD000865
9574	Hs_Skin	Skin	Wilhelm et al. (2014)	24870543	PXD000865
9575	Hs_Spleen_chymotrypsin	Spleen	Wilhelm et al. (2014)	24870543	PXD000865
9579	Hs_Testis_chymotrypsin	Testis	Wilhelm et al. (2014)	24870543	PXD000865
9580	Hs_Testis_chymotrypsin_hSAX	Testis	Wilhelm et al. (2014)	24870543	PXD000865
9585	Hs_Tube	Other Anatomical Entities	Wilhelm et al. (2014)	24870543	PXD000865
9586	Hs_Uterus_post-menopause	Other Female Reproductive Organ	Wilhelm et al. (2014)	24870543	PXD000865
9587	Hs_Uterus_pre-menopause	Other Female Reproductive Organ	Wilhelm et al. (2014)	24870543	PXD000865
9538	Hs_Colon	Digestive System	Wilhelm et al. (2014)	24870543	PXD000865
9535	Hs_Cardia	Digestive System	Wilhelm et al. (2014)	24870543	PXD000865
9588	Hs_Vulva	Other Female Reproductive Organ	Wilhelm et al. (2014)	24870543	PXD000865
9533	Hs_Ascites	Other Anatomical Entities	Wilhelm et al. (2014)	24870543	PXD000865
9536	Hs_Cerebral_cortex	Brain	Wilhelm et al. (2014)	24870543	PXD000865
8492	Hs_A204_phospho_TMT6plex	Cancer Cell Lines, Other Anatomical Entities	Wilhelm et al. (2014)	24870543	PXD000865
9534	Hs_B-lymphocytes_TMT6plex	Blood Cells	Wilhelm et al. (2014)	24870543	PXD000865
9543	Hs_iES_cardiomyocytes_Cellzome	Non Cancer Cell Lines	Wilhelm et al. (2014)	24870543	PXD000865
9550	Hs_MCF-7-2_TMT6plex	Cancer Cell Lines, Breast	Wilhelm et al. (2014)	24870543	PXD000865
9551	Hs_MCF-7-3_TMT6plex	Cancer Cell Lines, Breast	Wilhelm et al. (2014)	24870543	PXD000865
